,precip_total_sum_mm,temp_mean_c,temp_max_c,temp_min_c
2024-10-20,0.0,29.46666666666667,34.9,25.4
2024-10-21,0.0,29.629166666666666,34.6,25.6
2024-10-22,0.0,29.224999999999998,35.0,24.3
2024-10-23,5.2,28.733333333333334,34.0,24.6
2024-10-24,0.2,28.479166666666668,33.4,23.9
2024-10-25,0.0,29.125,33.8,25.0
2024-10-26,0.0,29.254166666666666,35.5,24.6
2024-10-27,0.0,28.90416666666667,34.6,24.2
2024-10-28,0.0,29.083333333333332,34.5,24.4
2024-10-29,0.6000000000000001,28.28333333333333,34.2,25.5
2024-10-30,0.6000000000000001,27.695833333333336,32.4,25.0
2024-10-31,0.0,28.72083333333333,35.0,24.7
2024-11-01,0.0,29.21666666666667,35.6,23.8
2024-11-02,0.0,29.329166666666666,34.3,24.6
2024-11-03,0.0,29.75,35.4,24.9
2024-11-04,0.0,29.6875,37.1,24.9
2024-11-05,3.4000000000000004,28.358333333333334,35.1,24.7
2024-11-06,0.0,29.058333333333334,36.2,24.5
2024-11-07,1.6,29.02916666666667,35.4,24.2
2024-11-08,0.0,29.275000000000002,35.1,23.7
2024-11-09,0.0,29.579166666666666,37.0,23.7
2024-11-10,0.0,29.783333333333335,36.7,24.7
2024-11-11,0.0,28.7625,33.5,24.2
2024-11-12,0.0,29.3875,34.4,25.1
2024-11-13,14.4,28.108333333333334,34.2,24.8
2024-11-14,0.2,28.633333333333336,35.1,23.7
2024-11-15,0.0,28.375,33.2,24.7
2024-11-16,0.0,28.916666666666668,35.7,23.2
2024-11-17,0.0,29.037499999999998,34.6,24.8
2024-11-18,5.0,28.575,33.0,25.6
2024-11-19,0.0,29.641666666666666,35.4,24.8
2024-11-20,0.0,29.204166666666666,35.2,24.5
2024-11-21,28.400000000000002,28.116666666666664,34.3,24.0
2024-11-22,0.0,28.625,34.4,23.9
2024-11-23,0.0,28.829166666666666,35.2,23.4
2024-11-24,10.4,28.504166666666666,34.0,24.4
2024-11-25,0.0,29.358333333333334,34.2,26.0
2024-11-26,4.8,28.508333333333336,34.9,24.6
2024-11-27,0.4,28.5,34.3,23.4
2024-11-28,0.0,28.870833333333334,34.7,23.7
2024-11-29,0.0,29.099999999999998,36.1,23.7
2024-11-30,26.2,27.995833333333334,33.9,25.9
2024-12-01,0.2,28.204166666666666,33.8,25.3
2024-12-02,2.2,27.854166666666668,33.9,24.9
2024-12-03,0.0,28.429166666666664,34.0,24.6
2024-12-04,34.8,28.170833333333334,34.1,25.4
2024-12-05,6.6000000000000005,27.0,31.7,24.5
2024-12-06,4.0,26.8125,32.5,24.1
2024-12-07,30.6,25.724999999999998,30.6,23.1
2024-12-08,1.8,26.7375,33.5,23.8
2024-12-09,14.200000000000001,27.254166666666666,34.3,24.1
2024-12-10,46.6,27.204166666666666,33.3,24.4
2024-12-11,74.2,25.833333333333332,32.6,23.1
2024-12-12,1.5999999999999999,27.641666666666666,33.6,24.2
2024-12-13,2.4,27.454166666666666,32.8,24.1
2024-12-14,2.6,27.8,32.5,24.7
2024-12-15,0.4,27.90416666666667,32.4,25.1
2024-12-16,0.6000000000000001,28.608333333333334,34.8,24.3
2024-12-17,12.8,27.75,34.0,24.7
2024-12-18,15.6,27.087500000000002,35.1,23.6
2024-12-19,17.8,26.474999999999998,32.5,24.4
2024-12-20,0.0,28.204166666666666,33.5,24.1
2024-12-21,5.6,28.15833333333333,33.8,24.0
2024-12-22,30.0,27.808333333333334,34.5,24.0
2024-12-23,1.7999999999999998,27.900000000000002,33.2,24.8
2024-12-24,7.6000000000000005,27.933333333333334,31.5,25.5
2024-12-25,44.4,27.258333333333336,30.5,24.5
2024-12-26,10.2,27.575,33.0,25.1
2024-12-27,13.8,27.8875,34.2,24.5
2024-12-28,2.0,27.087500000000002,32.9,24.7
2024-12-29,19.8,25.183333333333334,27.8,23.5
2024-12-30,0.0,27.108333333333334,33.2,24.2
2024-12-31,1.0,27.625,33.8,24.5
